source,target,rel,cone
27611,52320,0,1
137316,6939,0,1
137316,3216,0,1
137263,6939,0,1
137263,4637,0,1
25375,6939,0,1
28213,52320,0,1
28135,52320,0,1
24289,3216,0,1
140905,6939,0,1
137316,52320,0,1
31673,3216,0,1
31673,52320,0,1
32398,3257,0,1
31133,2635,0,1
31133,31673,0,1
31133,32590,0,1
31133,33986,0,1
31133,34756,0,1
31133,39612,-1,1
31133,41616,-1,1
31133,35180,0,1
31133,13150,0,1
63981,6939,0,1
31133,51752,0,1
31133,52060,-1,1
31133,57629,-1,1
31133,56451,-1,1
31133,56542,-1,1
31133,56814,-1,1
31133,57233,-1,1
31133,49910,0,1
31133,44640,0,1
31133,43270,-1,1
31133,43235,-1,1
31133,48909,-1,1
31133,49722,-1,1
31133,47470,-1,1
31133,211609,-1,1
31133,205638,-1,1
31133,60510,-1,1
31133,200062,0,1
31133,201469,-1,1
31133,199332,0,1
33986,3216,0,1
33986,6939,0,1
33986,52320,0,1
32590,3216,0,1
32590,7195,0,1
32590,7473,0,1
32590,52320,0,1
32590,16735,0,1
131982,6939,0,1
131982,3216,0,1
30879,3216,0,1
30630,52320,0,1
200487,6939,0,1
200062,52320,0,1
16735,263089,-1,1
16735,262295,-1,1
16735,264458,-1,1
16735,264916,-1,1
16735,264958,-1,1
16735,61903,-1,1
16735,263892,-1,1
16735,264061,-1,1
16735,264263,-1,1
16735,30630,0,1
16735,52520,-1,1
16735,28243,-1,1
16735,28310,-1,1
16735,59692,0,1
16735,53017,-1,1
16735,52922,-1,1
16807,7018,0,1
16735,267089,-1,1
16735,266365,-1,1
16735,271637,-1,1
16735,270753,-1,1
16735,268594,-1,1
16735,268876,-1,1
16735,269505,-1,1
202486,6939,0,1
201512,52320,0,1
197696,6939,0,1
23028,52320,0,1
23028,3216,0,1
23028,16735,0,1
198317,6939,0,1
150366,6939,0,1
197274,6939,0,1
196924,6939,0,1
199324,6939,0,1
199332,3216,0,1
199332,52320,0,1
199421,52320,0,1
44796,52320,0,1
44788,31133,0,1
44788,3216,0,1
44788,6939,0,1
44796,6939,0,1
44788,52320,0,1
44796,3216,0,1
44377,6939,0,1
44384,6939,0,1
54661,6939,0,1
42180,6939,0,1
56814,6939,0,1
51752,52320,0,1
51752,3216,0,1
